id_city,id_state,variable,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Anchorage AK,AK,daily_max,22.7,27.3,33.0,45.1,56.3,63.4,66.2,64.0,55.7,42.0,28.9,25
Anchorage AK,AK,daily_mean,16.9,21.3,25.8,37.5,48.1,55.9,59.6,57.5,49.3,36.3,23.6,19.4
Anchorage AK,AK,precipitation,0.75,0.86,0.69,0.43,0.65,1.02,1.82,2.93,3.1,1.82,1.19,1.16
Fairbanks AK,AK,daily_max,0.6,11.6,24.9,45.6,62.1,71.8,72.7,66.4,55.3,34.1,12.3,4.3
Fairbanks AK,AK,daily_mean,−8.3,0.2,10.7,33.7,50.3,61.0,62.9,57.0,45.8,26.2,4.1,−4.3
Fairbanks AK,AK,precipitation,0.61,0.52,0.4,0.34,0.54,1.48,2.26,2.1,1.35,0.76,0.74,0.57
Juneau AK,AK,daily_max,33.1,35.7,39.2,48.7,57.6,62.4,64.0,62.9,56.1,47.3,38.3,34.7
Juneau AK,AK,daily_mean,28.5,30.1,32.9,40.8,49.0,54.6,57.0,56.0,50.1,42.2,33.8,30.3
Juneau AK,AK,precipitation,6.02,4.31,3.67,3.47,3.51,3.82,5.14,6.41,9.15,8.42,6.54,6.53
Birmingham AL,AL,daily_max,54.5,59.1,67.1,75.0,82.0,88.1,91.0,90.6,85.9,76.0,65.0,56.9
Birmingham AL,AL,daily_mean,44.7,48.8,56.0,63.6,71.5,78.3,81.5,80.9,75.6,64.9,54.0,47.4
Birmingham AL,AL,precipitation,5.03,4.95,5.66,5.08,4.91,4.78,5.45,4.35,4.0,3.34,4.23,4.87
Montgomery AL,AL,daily_max,59.8,64.7,71.9,78.8,86.0,91.5,93.7,93.6,89.3,80.2,69.8,61.9
Montgomery AL,AL,daily_mean,48.1,52.6,59.2,65.7,73.6,80.2,82.9,82.5,77.8,67.4,56.6,50.2
Montgomery AL,AL,precipitation,4.64,4.88,5.21,3.99,3.88,4.08,5.06,4.02,3.69,2.87,3.85,4.99
Little Rock AR,AR,daily_max,50.5,55.2,63.7,72.8,80.5,88.2,91.7,91.5,85.1,74.2,61.9,52.6
Little Rock AR,AR,daily_mean,40.7,44.7,52.7,61.4,69.9,78.0,81.4,80.8,74.0,62.6,51.1,43
Little Rock AR,AR,precipitation,3.5,3.97,4.96,5.59,5.08,3.55,3.33,3.16,3.01,4.47,4.72,5.08
Flagstaff AZ,AZ,daily_max,43.4,45.7,52.2,59.2,68.1,79.1,82.0,79.3,74.1,63.6,52.1,43
Flagstaff AZ,AZ,daily_mean,30.5,32.8,38.0,43.7,51.3,60.8,66.7,64.9,58.3,47.6,37.5,30
Flagstaff AZ,AZ,precipitation,2.05,2.17,1.88,0.89,0.77,0.3,2.61,3.04,1.84,1.52,1.55,1.9
Phoenix AZ,AZ,daily_max,67.6,70.8,78.1,85.5,94.5,104.2,106.5,105.1,100.4,89.2,76.5,66.2
Phoenix AZ,AZ,daily_mean,56.8,59.9,66.3,73.2,82.0,91.4,95.5,94.4,89.2,77.4,65.1,55.8
Phoenix AZ,AZ,precipitation,0.87,0.87,0.83,0.22,0.13,0.02,0.91,0.93,0.57,0.56,0.57,0.74
Tucson AZ,AZ,daily_max,66.5,69.2,75.8,82.9,91.8,101.2,100.2,98.6,95.1,86.3,75.1,65.5
Tucson AZ,AZ,daily_mean,53.6,56.2,61.9,68.1,76.8,86.1,88.2,86.9,82.8,72.6,61.5,53
Tucson AZ,AZ,precipitation,0.84,0.84,0.56,0.24,0.2,0.23,2.21,1.98,1.32,0.67,0.56,0.96
Eureka CA,CA,daily_max,55.1,55.4,56.1,57.4,59.6,61.9,63.1,64.0,63.9,61.9,57.8,54.7
Eureka CA,CA,daily_mean,47.9,48.4,49.2,50.8,53.7,56.0,57.7,58.5,57.2,54.3,50.5,47.4
Eureka CA,CA,precipitation,6.67,5.64,5.75,3.64,1.66,0.7,0.18,0.18,0.68,2.31,4.89,8.1
Fresno CA,CA,daily_max,55.4,61.3,67.5,73.7,82.7,91.4,97.7,96.5,90.7,78.7,64.9,55.3
